year,month,size
2009,1,733
2009,2,1576
2009,3,1457
2009,4,1404
2009,5,1545
2009,6,1175
2009,7,1633
2009,8,1704
2009,9,1687
2009,10,2318
2009,11,2256
2009,12,4805
2010,1,6104
2010,2,10730
2010,3,8268
2010,4,21531
2010,5,14562
2010,6,12527
2010,7,64860
2010,8,31979
2010,9,35136
2010,10,39918
2010,11,105434
2010,12,51038
2011,1,116924
2011,2,158879
2011,3,367129
2011,4,616608
2011,5,1186538
2011,6,2983656
2011,7,2789276
2011,8,2059287
2011,9,1868424
2011,10,1434970
2011,11,1427678
2011,12,1623782
2012,1,2059861
2012,2,2780594
2012,3,2672567
2012,4,2243550
2012,5,6462565
2012,6,12783477
2012,7,9614145
2012,8,12707381
2012,9,11743331
2012,10,13294558
2012,11,12039326
2012,12,13830780
2013,1,15976135
2013,2,17160155
2013,3,21587919
2013,4,23618801
2013,5,21845483
2013,6,15746816
2013,7,13917142
2013,8,32347237
2013,9,75945174
2013,10,32453552
2013,11,114725560
2013,12,88062538
2014,1,106878306
2014,2,250398857
2014,3,529510678
2014,4,338435268
2014,5,345634382
2014,6,379120477
2014,7,309749630
2014,8,291816668
2014,9,284302106
2014,10,337313564
2014,11,354812122
2014,12,578217314
2015,1,404067263
2015,2,333168872
2015,3,356270852
2015,4,339014450
2015,5,347459521
2015,6,429149118
2015,7,436316930
2015,8,396951915
2015,9,369741870
2015,10,277746622
2015,11,470693102
2015,12,662642134
2016,1,385876359
2016,2,377970625
2016,3,429837217
2016,4,360475882
2016,5,157063780
2016,6,175664929
2016,7,126943097
2016,8,125168468
2016,9,128925385
2016,10,137552582
2016,11,150464247
2016,12,139280636
2017,1,168004967
2017,2,317399029
2017,3,700884
